feature_set,model,model_type,horizon,sl,tp,threshold,trades,win_rate,pnl_pct,max_dd,profit_factor,trades_per_week,sharpe,final_balance
base,rf_deep,rf,6,0.015,0.03,0.65,143,0.364,-14.57,15.66,0.6,3.2,-2.93,8543.03
base,rf_deep,rf,6,0.015,0.03,0.7,94,0.404,-9.19,10.87,0.64,2.1,-2.1,9080.58
base,rf_deep,rf,6,0.02,0.04,0.55,279,0.419,-17.82,22.12,0.7,6.2,-2.59,8218.22
base,rf_deep,rf,6,0.02,0.04,0.6,186,0.441,-14.03,18.26,0.69,4.2,-2.22,8597.23
base,rf_deep,rf,6,0.02,0.04,0.65,126,0.397,-12.69,14.71,0.64,2.8,-2.31,8731.15
base,rf_deep,rf,6,0.02,0.04,0.7,80,0.425,-7.99,10.31,0.68,1.8,-1.62,9201.45
base,rf_deep,rf,8,0.01,0.02,0.55,441,0.333,-30.21,32.16,0.62,9.9,-5.06,6978.65
base,rf_deep,rf,8,0.01,0.02,0.6,318,0.308,-26.29,27.33,0.59,7.1,-4.85,7370.89
base,rf_deep,rf,8,0.01,0.02,0.65,222,0.302,-19.69,21.8,0.59,5.0,-4.11,8030.95
base,rf_deep,rf,8,0.01,0.02,0.7,139,0.295,-13.69,16.05,0.57,3.1,-3.49,8630.84
base,rf_deep,rf,8,0.015,0.03,0.55,331,0.393,-21.1,26.1,0.69,7.4,-3.11,7890.3
base,rf_deep,rf,8,0.015,0.03,0.6,218,0.376,-15.38,18.59,0.7,4.9,-2.49,8461.57
base,rf_deep,rf,8,0.015,0.03,0.65,151,0.338,-14.4,16.99,0.64,3.4,-2.68,8559.76
base,rf_deep,rf,8,0.015,0.03,0.7,91,0.33,-10.35,13.7,0.6,2.0,-2.39,8964.82
base,rf_deep,rf,8,0.02,0.04,0.55,298,0.446,-16.6,22.57,0.75,6.7,-2.21,8339.61
base,rf_deep,rf,8,0.02,0.04,0.6,196,0.413,-13.52,18.32,0.73,4.4,-1.98,8647.74
base,rf_deep,rf,8,0.02,0.04,0.65,133,0.361,-14.11,17.34,0.63,3.0,-2.43,8588.85
base,rf_deep,rf,8,0.02,0.04,0.7,80,0.375,-7.39,11.42,0.71,1.8,-1.45,9261.02
base,rf_deep,rf,12,0.01,0.02,0.55,626,0.356,-38.13,40.99,0.64,14.0,-5.62,6187.45
base,rf_deep,rf,12,0.01,0.02,0.6,406,0.355,-26.66,30.16,0.65,9.1,-4.34,7334.03
base,rf_deep,rf,12,0.01,0.02,0.65,274,0.318,-24.41,28.0,0.57,6.1,-4.83,7558.51
base,rf_deep,rf,12,0.01,0.02,0.7,183,0.284,-18.03,20.26,0.57,4.1,-3.98,8196.68
base,rf_deep,rf,12,0.015,0.03,0.55,451,0.419,-27.77,31.85,0.69,10.1,-3.66,7222.67
base,rf_deep,rf,12,0.015,0.03,0.6,280,0.421,-17.75,23.23,0.72,6.3,-2.61,8225.46
base,rf_deep,rf,12,0.015,0.03,0.65,182,0.385,-16.69,21.62,0.63,4.1,-3.0,8330.79
base,rf_deep,rf,12,0.015,0.03,0.7,123,0.358,-12.04,14.52,0.66,2.8,-2.3,8796.38
base,rf_deep,rf,12,0.02,0.04,0.55,405,0.432,-27.07,32.09,0.69,9.1,-3.32,7293.18
base,rf_deep,rf,12,0.02,0.04,0.6,251,0.438,-17.58,23.47,0.72,5.6,-2.34,8241.79
base,rf_deep,rf,12,0.02,0.04,0.65,158,0.392,-16.71,22.84,0.63,3.5,-2.7,8329.45
base,rf_deep,rf,12,0.02,0.04,0.7,105,0.4,-10.39,13.42,0.7,2.4,-1.76,8960.74
base+micro,xgb_light,xgb,6,0.01,0.02,0.55,2480,0.335,-87.78,87.78,0.49,55.6,-14.04,1221.82
base+micro,xgb_light,xgb,6,0.01,0.02,0.6,2065,0.338,-82.73,82.73,0.49,46.3,-13.34,1726.53
base+micro,xgb_light,xgb,6,0.01,0.02,0.65,1648,0.342,-75.66,75.67,0.51,36.9,-12.01,2434.08
base+micro,xgb_light,xgb,6,0.01,0.02,0.7,1256,0.348,-66.0,66.11,0.52,28.1,-10.49,3400.39
base+micro,xgb_light,xgb,6,0.015,0.03,0.55,2165,0.353,-83.14,83.14,0.51,48.5,-11.82,1685.53
base+micro,xgb_light,xgb,6,0.015,0.03,0.6,1796,0.361,-75.25,75.25,0.53,40.2,-10.52,2474.84
base+micro,xgb_light,xgb,6,0.015,0.03,0.65,1399,0.369,-66.37,66.41,0.56,31.3,-8.91,3362.51
base+micro,xgb_light,xgb,6,0.015,0.03,0.7,1048,0.382,-55.51,55.98,0.58,23.5,-7.53,4448.53
base+micro,xgb_light,xgb,6,0.02,0.04,0.55,2063,0.36,-81.46,81.46,0.51,46.2,-11.07,1854.36
base+micro,xgb_light,xgb,6,0.02,0.04,0.6,1705,0.368,-73.17,73.17,0.54,38.2,-9.61,2682.96
base+micro,xgb_light,xgb,6,0.02,0.04,0.65,1313,0.374,-64.06,64.06,0.55,29.4,-8.29,3593.76
base+micro,xgb_light,xgb,6,0.02,0.04,0.7,974,0.399,-49.23,49.79,0.61,21.8,-6.2,5076.98
base+micro,xgb_light,xgb,8,0.01,0.02,0.55,2339,0.344,-86.53,86.53,0.51,52.4,-13.0,1346.92
base+micro,xgb_light,xgb,8,0.01,0.02,0.6,1976,0.35,-80.41,80.49,0.54,44.3,-11.6,1959.47
base+micro,xgb_light,xgb,8,0.01,0.02,0.65,1597,0.352,-69.2,70.01,0.6,35.8,-9.19,3079.64
base+micro,xgb_light,xgb,8,0.01,0.02,0.7,1218,0.349,-59.11,59.11,0.6,27.3,-8.19,4089.46
base+micro,xgb_light,xgb,8,0.015,0.03,0.55,1938,0.374,-79.32,79.33,0.55,43.4,-10.4,2067.94
base+micro,xgb_light,xgb,8,0.015,0.03,0.6,1631,0.378,-72.31,72.66,0.57,36.5,-9.3,2768.79
base+micro,xgb_light,xgb,8,0.015,0.03,0.65,1325,0.378,-62.4,63.34,0.61,29.7,-7.64,3759.97
base+micro,xgb_light,xgb,8,0.015,0.03,0.7,977,0.379,-48.32,49.34,0.64,21.9,-5.98,5167.66
base+micro,xgb_light,xgb,8,0.02,0.04,0.55,1827,0.379,-78.94,79.07,0.53,40.9,-10.01,2105.71
base+micro,xgb_light,xgb,8,0.02,0.04,0.6,1531,0.385,-71.89,72.26,0.55,34.3,-9.01,2810.57
base+micro,xgb_light,xgb,8,0.02,0.04,0.65,1236,0.379,-62.18,62.92,0.59,27.7,-7.3,3782.33
base+micro,xgb_light,xgb,8,0.02,0.04,0.7,904,0.381,-47.21,48.52,0.63,20.2,-5.65,5278.53
base+micro,xgb_light,xgb,12,0.01,0.02,0.55,1748,0.359,-75.92,76.64,0.59,39.2,-10.0,2407.59
base+micro,xgb_light,xgb,12,0.01,0.02,0.6,1482,0.349,-70.01,70.53,0.6,33.2,-9.22,2998.76
base+micro,xgb_light,xgb,12,0.01,0.02,0.65,1188,0.345,-64.82,65.58,0.58,26.6,-8.96,3517.9
base+micro,xgb_light,xgb,12,0.01,0.02,0.7,884,0.345,-53.0,54.95,0.6,19.8,-7.41,4700.13
base+micro,xgb_light,xgb,12,0.015,0.03,0.55,1344,0.391,-66.3,67.55,0.61,30.1,-7.64,3370.21
base+micro,xgb_light,xgb,12,0.015,0.03,0.6,1113,0.388,-59.34,60.5,0.62,24.9,-7.02,4066.43
base+micro,xgb_light,xgb,12,0.015,0.03,0.65,889,0.4,-48.91,51.55,0.65,19.9,-5.8,5109.18
base+micro,xgb_light,xgb,12,0.015,0.03,0.7,667,0.403,-40.25,42.92,0.66,14.9,-4.92,5975.3
base+micro,xgb_light,xgb,12,0.02,0.04,0.55,1221,0.405,-61.51,63.18,0.63,27.4,-6.7,3848.99
base+micro,xgb_light,xgb,12,0.02,0.04,0.6,1005,0.398,-56.36,57.76,0.62,22.5,-6.4,4363.66
base+micro,xgb_light,xgb,12,0.02,0.04,0.65,799,0.419,-45.45,48.93,0.65,17.9,-5.17,5454.98
base+micro,xgb_light,xgb,12,0.02,0.04,0.7,610,0.418,-40.04,42.99,0.66,13.7,-4.54,5996.36
base+micro,xgb_std,xgb,6,0.01,0.02,0.55,1685,0.346,-74.84,74.95,0.52,37.7,-11.56,2516.08
base+micro,xgb_std,xgb,6,0.01,0.02,0.6,1401,0.351,-69.91,69.93,0.51,31.4,-11.22,3009.28
base+micro,xgb_std,xgb,6,0.01,0.02,0.65,1082,0.365,-57.68,57.73,0.55,24.2,-9.04,4231.94
base+micro,xgb_std,xgb,6,0.01,0.02,0.7,823,0.358,-48.89,49.55,0.55,18.4,-8.08,5110.96
base+micro,xgb_std,xgb,6,0.015,0.03,0.55,1465,0.368,-68.34,68.69,0.55,32.8,-9.29,3165.56
base+micro,xgb_std,xgb,6,0.015,0.03,0.6,1211,0.373,-63.3,63.32,0.54,27.1,-8.95,3670.02
base+micro,xgb_std,xgb,6,0.015,0.03,0.65,924,0.394,-47.77,48.09,0.62,20.7,-6.36,5222.74
base+micro,xgb_std,xgb,6,0.015,0.03,0.7,700,0.393,-41.4,42.39,0.6,15.7,-5.87,5860.48
base+micro,xgb_std,xgb,6,0.02,0.04,0.55,1381,0.379,-64.17,64.56,0.57,30.9,-8.01,3583.02
base+micro,xgb_std,xgb,6,0.02,0.04,0.6,1140,0.383,-59.29,59.32,0.56,25.5,-7.82,4071.04
base+micro,xgb_std,xgb,6,0.02,0.04,0.65,869,0.409,-43.11,43.65,0.65,19.5,-5.3,5689.0
base+micro,xgb_std,xgb,6,0.02,0.04,0.7,643,0.412,-36.41,37.48,0.64,14.4,-4.77,6358.82
base+micro,xgb_std,xgb,8,0.01,0.02,0.55,1549,0.33,-73.9,73.98,0.52,34.7,-11.36,2609.67
base+micro,xgb_std,xgb,8,0.01,0.02,0.6,1259,0.342,-66.1,66.1,0.54,28.2,-9.99,3390.03
base+micro,xgb_std,xgb,8,0.01,0.02,0.65,1004,0.336,-59.9,59.9,0.54,22.5,-9.29,4010.26
base+micro,xgb_std,xgb,8,0.01,0.02,0.7,717,0.339,-46.17,46.35,0.58,16.1,-7.15,5383.49
base+micro,xgb_std,xgb,8,0.015,0.03,0.55,1285,0.358,-65.92,66.57,0.55,28.8,-8.95,3408.06
base+micro,xgb_std,xgb,8,0.015,0.03,0.6,1038,0.367,-59.02,59.15,0.55,23.3,-8.29,4097.57
base+micro,xgb_std,xgb,8,0.015,0.03,0.65,807,0.371,-50.66,50.66,0.56,18.1,-7.21,4934.42
base+micro,xgb_std,xgb,8,0.015,0.03,0.7,584,0.384,-37.04,38.1,0.62,13.1,-5.17,6295.89
base+micro,xgb_std,xgb,8,0.02,0.04,0.55,1206,0.364,-63.99,64.69,0.55,27.0,-8.22,3601.19
base+micro,xgb_std,xgb,8,0.02,0.04,0.6,981,0.375,-58.62,59.01,0.54,22.0,-7.71,4137.84
base+micro,xgb_std,xgb,8,0.02,0.04,0.65,752,0.384,-47.13,47.13,0.57,16.8,-6.32,5287.36
base+micro,xgb_std,xgb,8,0.02,0.04,0.7,537,0.404,-32.78,34.01,0.64,12.0,-4.3,6721.8
base+micro,xgb_std,xgb,12,0.01,0.02,0.55,1522,0.361,-71.48,72.46,0.59,34.1,-9.46,2851.87
base+micro,xgb_std,xgb,12,0.01,0.02,0.6,1247,0.357,-63.09,64.25,0.61,27.9,-8.34,3690.91
base+micro,xgb_std,xgb,12,0.01,0.02,0.65,1002,0.357,-54.32,54.42,0.62,22.4,-7.45,4567.74
base+micro,xgb_std,xgb,12,0.01,0.02,0.7,744,0.344,-45.02,45.5,0.63,16.7,-6.35,5498.42
base+micro,xgb_std,xgb,12,0.015,0.03,0.55,1180,0.397,-62.96,64.2,0.6,26.4,-7.47,3703.84
base+micro,xgb_std,xgb,12,0.015,0.03,0.6,971,0.405,-50.82,52.56,0.65,21.8,-6.0,4917.52
base+micro,xgb_std,xgb,12,0.015,0.03,0.65,769,0.415,-40.28,41.48,0.69,17.2,-4.78,5971.82
base+micro,xgb_std,xgb,12,0.015,0.03,0.7,573,0.426,-27.07,29.9,0.75,12.8,-3.21,7293.37
base+micro,xgb_std,xgb,12,0.02,0.04,0.55,1082,0.419,-58.26,59.85,0.61,24.2,-6.59,4173.98
base+micro,xgb_std,xgb,12,0.02,0.04,0.6,884,0.413,-48.86,51.09,0.65,19.8,-5.44,5113.69
base+micro,xgb_std,xgb,12,0.02,0.04,0.65,697,0.42,-40.13,41.15,0.67,15.6,-4.57,5987.35
base+micro,xgb_std,xgb,12,0.02,0.04,0.7,519,0.441,-26.94,29.42,0.73,11.6,-3.09,7305.8
base+micro,xgb_deep,xgb,6,0.01,0.02,0.55,1214,0.356,-61.31,61.36,0.54,27.2,-9.62,3869.14
base+micro,xgb_deep,xgb,6,0.01,0.02,0.6,996,0.348,-56.27,56.33,0.54,22.3,-9.07,4372.62
base+micro,xgb_deep,xgb,6,0.01,0.02,0.65,745,0.366,-42.84,43.26,0.58,16.7,-7.05,5716.23
base+micro,xgb_deep,xgb,6,0.01,0.02,0.7,549,0.364,-35.57,35.79,0.57,12.3,-6.27,6443.14
base+micro,xgb_deep,xgb,6,0.015,0.03,0.55,1058,0.392,-51.34,51.4,0.61,23.7,-6.89,4865.57
base+micro,xgb_deep,xgb,6,0.015,0.03,0.6,858,0.387,-44.87,44.93,0.62,19.2,-5.97,5513.41
base+micro,xgb_deep,xgb,6,0.015,0.03,0.65,640,0.408,-34.25,34.73,0.65,14.3,-4.74,6575.08
base+micro,xgb_deep,xgb,6,0.015,0.03,0.7,470,0.398,-29.03,29.65,0.63,10.5,-4.34,7096.76
base+micro,xgb_deep,xgb,6,0.02,0.04,0.55,1003,0.4,-49.73,49.8,0.6,22.5,-6.45,5026.52
base+micro,xgb_deep,xgb,6,0.02,0.04,0.6,808,0.394,-41.84,41.91,0.64,18.1,-5.16,5815.8
base+micro,xgb_deep,xgb,6,0.02,0.04,0.65,598,0.415,-29.89,31.2,0.69,13.4,-3.75,7010.94
base+micro,xgb_deep,xgb,6,0.02,0.04,0.7,438,0.434,-20.29,21.1,0.73,9.8,-2.69,7970.63
base+micro,xgb_deep,xgb,8,0.01,0.02,0.55,1235,0.346,-63.66,63.81,0.55,27.7,-9.52,3634.33
base+micro,xgb_deep,xgb,8,0.01,0.02,0.6,994,0.349,-55.1,55.11,0.57,22.3,-8.31,4489.78
base+micro,xgb_deep,xgb,8,0.01,0.02,0.65,769,0.351,-47.01,47.55,0.58,17.2,-7.24,5299.33
base+micro,xgb_deep,xgb,8,0.01,0.02,0.7,567,0.342,-37.24,37.59,0.59,12.7,-6.13,6275.52
base+micro,xgb_deep,xgb,8,0.015,0.03,0.55,1034,0.372,-55.35,56.12,0.57,23.2,-7.59,4464.61
base+micro,xgb_deep,xgb,8,0.015,0.03,0.6,838,0.382,-48.3,48.97,0.58,18.8,-6.83,5170.35
base+micro,xgb_deep,xgb,8,0.015,0.03,0.65,638,0.403,-37.45,38.25,0.62,14.3,-5.31,6254.71
base+micro,xgb_deep,xgb,8,0.015,0.03,0.7,470,0.387,-31.51,32.83,0.61,10.5,-4.7,6849.2
base+micro,xgb_deep,xgb,8,0.02,0.04,0.55,974,0.385,-52.61,53.63,0.59,21.8,-6.66,4739.2
base+micro,xgb_deep,xgb,8,0.02,0.04,0.6,779,0.399,-44.92,46.05,0.6,17.4,-5.88,5507.88
base+micro,xgb_deep,xgb,8,0.02,0.04,0.65,591,0.408,-35.82,36.85,0.62,13.2,-4.77,6417.58
base+micro,xgb_deep,xgb,8,0.02,0.04,0.7,424,0.394,-25.96,27.62,0.66,9.5,-3.53,7404.43
base+micro,xgb_deep,xgb,12,0.01,0.02,0.55,1171,0.339,-64.74,65.5,0.58,26.2,-8.93,3526.49
base+micro,xgb_deep,xgb,12,0.01,0.02,0.6,968,0.341,-57.97,58.36,0.58,21.7,-8.23,4203.07
base+micro,xgb_deep,xgb,12,0.01,0.02,0.65,758,0.342,-47.94,48.77,0.59,17.0,-7.17,5205.59
base+micro,xgb_deep,xgb,12,0.01,0.02,0.7,543,0.348,-36.2,36.61,0.62,12.2,-5.63,6380.09
base+micro,xgb_deep,xgb,12,0.015,0.03,0.55,911,0.383,-53.98,55.61,0.62,20.4,-6.46,4602.13
base+micro,xgb_deep,xgb,12,0.015,0.03,0.6,742,0.398,-45.19,46.44,0.65,16.6,-5.5,5481.39
base+micro,xgb_deep,xgb,12,0.015,0.03,0.65,584,0.411,-33.69,38.33,0.69,13.1,-4.2,6631.14
base+micro,xgb_deep,xgb,12,0.015,0.03,0.7,428,0.402,-29.27,32.18,0.67,9.6,-3.92,7073.03
base+micro,xgb_deep,xgb,12,0.02,0.04,0.55,818,0.4,-49.5,52.2,0.63,18.3,-5.6,5049.91
base+micro,xgb_deep,xgb,12,0.02,0.04,0.6,673,0.419,-43.68,45.71,0.64,15.1,-5.09,5631.77
base+micro,xgb_deep,xgb,12,0.02,0.04,0.65,523,0.434,-31.74,35.75,0.69,11.7,-3.77,6826.12
base+micro,xgb_deep,xgb,12,0.02,0.04,0.7,378,0.423,-27.06,29.13,0.68,8.5,-3.41,7294.24
base+micro,xgb_ens_std,xgb_ensemble,6,0.01,0.02,0.55,1694,0.336,-77.35,77.38,0.5,37.9,-12.41,2265.0
base+micro,xgb_ens_std,xgb_ensemble,6,0.01,0.02,0.6,1581,0.341,-73.96,73.96,0.51,35.4,-11.71,2604.07
base+micro,xgb_ens_std,xgb_ensemble,6,0.01,0.02,0.65,1496,0.345,-72.46,72.46,0.51,33.5,-11.5,2753.93
base+micro,xgb_ens_std,xgb_ensemble,6,0.01,0.02,0.7,1352,0.354,-66.79,66.79,0.53,30.3,-10.39,3321.18
base+micro,xgb_ens_std,xgb_ensemble,6,0.015,0.03,0.55,1463,0.365,-68.73,68.76,0.54,32.8,-9.6,3127.32
base+micro,xgb_ens_std,xgb_ensemble,6,0.015,0.03,0.6,1368,0.368,-65.27,65.27,0.56,30.6,-8.97,3473.14
base+micro,xgb_ens_std,xgb_ensemble,6,0.015,0.03,0.65,1294,0.374,-64.28,64.28,0.55,29.0,-8.89,3572.31
base+micro,xgb_ens_std,xgb_ensemble,6,0.015,0.03,0.7,1165,0.377,-59.1,59.21,0.57,26.1,-7.97,4090.3
base+micro,xgb_ens_std,xgb_ensemble,6,0.02,0.04,0.55,1385,0.371,-66.62,66.66,0.55,31.0,-8.78,3338.41
base+micro,xgb_ens_std,xgb_ensemble,6,0.02,0.04,0.6,1288,0.375,-62.46,62.46,0.57,28.9,-8.0,3754.5
base+micro,xgb_ens_std,xgb_ensemble,6,0.02,0.04,0.65,1212,0.384,-58.66,58.66,0.58,27.1,-7.45,4134.06
base+micro,xgb_ens_std,xgb_ensemble,6,0.02,0.04,0.7,1082,0.392,-52.87,52.99,0.6,24.2,-6.7,4712.98
base+micro,xgb_ens_std,xgb_ensemble,8,0.01,0.02,0.55,1530,0.333,-74.66,74.86,0.52,34.3,-11.25,2533.74
base+micro,xgb_ens_std,xgb_ensemble,8,0.01,0.02,0.6,1437,0.338,-71.96,71.96,0.52,32.2,-11.04,2804.27
base+micro,xgb_ens_std,xgb_ensemble,8,0.01,0.02,0.65,1315,0.338,-68.46,68.46,0.53,29.5,-10.4,3153.65
base+micro,xgb_ens_std,xgb_ensemble,8,0.01,0.02,0.7,1219,0.343,-64.92,64.92,0.55,27.3,-9.63,3507.78
base+micro,xgb_ens_std,xgb_ensemble,8,0.015,0.03,0.55,1260,0.365,-65.97,66.4,0.55,28.2,-8.88,3403.06
base+micro,xgb_ens_std,xgb_ensemble,8,0.015,0.03,0.6,1183,0.376,-61.97,62.83,0.56,26.5,-8.36,3803.44
base+micro,xgb_ens_std,xgb_ensemble,8,0.015,0.03,0.65,1076,0.375,-58.28,59.47,0.56,24.1,-8.07,4172.44
base+micro,xgb_ens_std,xgb_ensemble,8,0.015,0.03,0.7,989,0.375,-54.5,55.15,0.57,22.2,-7.55,4549.7
base+micro,xgb_ens_std,xgb_ensemble,8,0.02,0.04,0.55,1186,0.375,-65.11,65.34,0.53,26.6,-8.63,3488.55
base+micro,xgb_ens_std,xgb_ensemble,8,0.02,0.04,0.6,1107,0.385,-60.54,60.66,0.55,24.8,-7.98,3945.94
base+micro,xgb_ens_std,xgb_ensemble,8,0.02,0.04,0.65,1005,0.388,-56.19,57.19,0.56,22.5,-7.4,4380.75
base+micro,xgb_ens_std,xgb_ensemble,8,0.02,0.04,0.7,924,0.389,-51.07,51.59,0.59,20.7,-6.58,4893.28
base+micro,xgb_ens_std,xgb_ensemble,12,0.01,0.02,0.55,1602,0.355,-72.87,73.77,0.6,35.9,-9.31,2712.85
base+micro,xgb_ens_std,xgb_ensemble,12,0.01,0.02,0.6,1498,0.356,-71.34,72.31,0.59,33.6,-9.39,2866.15
base+micro,xgb_ens_std,xgb_ensemble,12,0.01,0.02,0.65,1396,0.352,-69.54,70.7,0.58,31.3,-9.32,3046.23
base+micro,xgb_ens_std,xgb_ensemble,12,0.01,0.02,0.7,1264,0.346,-66.73,67.99,0.59,28.3,-8.84,3327.47
base+micro,xgb_ens_std,xgb_ensemble,12,0.015,0.03,0.55,1233,0.391,-62.61,64.04,0.62,27.6,-7.19,3738.81
base+micro,xgb_ens_std,xgb_ensemble,12,0.015,0.03,0.6,1150,0.394,-61.89,63.18,0.61,25.8,-7.33,3811.33
base+micro,xgb_ens_std,xgb_ensemble,12,0.015,0.03,0.65,1067,0.396,-58.01,59.84,0.62,23.9,-6.87,4198.71
base+micro,xgb_ens_std,xgb_ensemble,12,0.015,0.03,0.7,966,0.405,-53.22,55.52,0.64,21.6,-6.13,4678.1
base+micro,xgb_ens_std,xgb_ensemble,12,0.02,0.04,0.55,1120,0.415,-55.46,57.11,0.65,25.1,-5.9,4454.35
base+micro,xgb_ens_std,xgb_ensemble,12,0.02,0.04,0.6,1052,0.419,-55.91,57.71,0.64,23.6,-6.05,4408.72
base+micro,xgb_ens_std,xgb_ensemble,12,0.02,0.04,0.65,978,0.416,-54.25,56.59,0.63,21.9,-5.98,4575.05
base+micro,xgb_ens_std,xgb_ensemble,12,0.02,0.04,0.7,884,0.416,-52.27,54.4,0.63,19.8,-5.8,4772.63
base+micro,rf_light,rf,6,0.01,0.02,0.55,1869,0.354,-78.57,78.6,0.51,41.9,-12.41,2142.77
base+micro,rf_light,rf,6,0.01,0.02,0.6,1390,0.347,-70.36,70.39,0.51,31.1,-11.18,2963.61
base+micro,rf_light,rf,6,0.01,0.02,0.65,953,0.364,-52.14,53.86,0.59,21.3,-7.75,4785.55
base+micro,rf_light,rf,6,0.01,0.02,0.7,585,0.368,-37.26,39.81,0.62,13.1,-5.71,6274.13
base+micro,rf_light,rf,6,0.015,0.03,0.55,1595,0.37,-72.53,72.77,0.53,35.7,-10.25,2746.93
base+micro,rf_light,rf,6,0.015,0.03,0.6,1149,0.378,-61.31,61.51,0.55,25.7,-8.53,3868.52
base+micro,rf_light,rf,6,0.015,0.03,0.65,765,0.396,-40.81,42.86,0.65,17.1,-5.36,5918.8
base+micro,rf_light,rf,6,0.015,0.03,0.7,439,0.405,-27.81,30.9,0.67,9.8,-3.9,7218.62
base+micro,rf_light,rf,6,0.02,0.04,0.55,1496,0.38,-70.08,70.2,0.54,33.5,-9.39,2992.23
base+micro,rf_light,rf,6,0.02,0.04,0.6,1072,0.392,-58.31,58.7,0.57,24.0,-7.66,4168.63
base+micro,rf_light,rf,6,0.02,0.04,0.65,693,0.414,-37.82,42.19,0.66,15.5,-4.73,6218.49
base+micro,rf_light,rf,6,0.02,0.04,0.7,397,0.431,-27.05,30.76,0.66,8.9,-3.59,7294.55
base+micro,rf_light,rf,8,0.01,0.02,0.55,1953,0.345,-80.76,80.76,0.54,43.7,-11.74,1924.47
base+micro,rf_light,rf,8,0.01,0.02,0.6,1451,0.343,-71.78,71.92,0.54,32.5,-10.61,2822.09
base+micro,rf_light,rf,8,0.01,0.02,0.65,992,0.353,-55.55,56.34,0.6,22.2,-7.77,4444.57
base+micro,rf_light,rf,8,0.01,0.02,0.7,549,0.348,-36.1,37.37,0.63,12.3,-5.49,6389.51
base+micro,rf_light,rf,8,0.015,0.03,0.55,1584,0.377,-73.17,73.44,0.56,35.5,-9.49,2683.27
base+micro,rf_light,rf,8,0.015,0.03,0.6,1143,0.381,-62.09,63.09,0.57,25.6,-8.12,3790.52
base+micro,rf_light,rf,8,0.015,0.03,0.65,758,0.405,-42.37,44.89,0.66,17.0,-5.15,5763.34
base+micro,rf_light,rf,8,0.015,0.03,0.7,401,0.401,-26.62,29.03,0.66,9.0,-3.79,7338.04
base+micro,rf_light,rf,8,0.02,0.04,0.55,1479,0.388,-70.56,70.86,0.57,33.1,-8.52,2943.51
base+micro,rf_light,rf,8,0.02,0.04,0.6,1058,0.384,-59.88,60.99,0.57,23.7,-7.34,4011.54
base+micro,rf_light,rf,8,0.02,0.04,0.65,685,0.416,-40.04,42.78,0.66,15.3,-4.59,5996.21
base+micro,rf_light,rf,8,0.02,0.04,0.7,358,0.436,-25.74,28.6,0.66,8.0,-3.44,7425.88
base+micro,rf_light,rf,12,0.01,0.02,0.55,1838,0.35,-78.72,79.43,0.58,41.2,-10.44,2127.61
base+micro,rf_light,rf,12,0.01,0.02,0.6,1419,0.355,-68.5,68.68,0.6,31.8,-8.98,3149.72
base+micro,rf_light,rf,12,0.01,0.02,0.65,948,0.35,-54.66,56.52,0.61,21.2,-7.61,4534.3
base+micro,rf_light,rf,12,0.01,0.02,0.7,531,0.367,-30.16,34.05,0.69,11.9,-4.38,6983.73
base+micro,rf_light,rf,12,0.015,0.03,0.55,1402,0.386,-69.03,69.96,0.6,31.4,-8.06,3096.98
base+micro,rf_light,rf,12,0.015,0.03,0.6,1046,0.402,-56.97,57.73,0.63,23.4,-6.75,4302.83
base+micro,rf_light,rf,12,0.015,0.03,0.65,670,0.419,-41.21,44.39,0.66,15.0,-5.02,5878.75
base+micro,rf_light,rf,12,0.015,0.03,0.7,363,0.424,-21.33,27.82,0.73,8.1,-2.86,7866.72
base+micro,rf_light,rf,12,0.02,0.04,0.55,1262,0.394,-65.71,67.0,0.6,28.3,-7.3,3429.48
base+micro,rf_light,rf,12,0.02,0.04,0.6,929,0.413,-52.75,53.5,0.64,20.8,-5.88,4724.6
base+micro,rf_light,rf,12,0.02,0.04,0.65,590,0.436,-38.12,41.78,0.67,13.2,-4.32,6187.84
base+micro,rf_light,rf,12,0.02,0.04,0.7,316,0.427,-22.64,29.29,0.7,7.1,-2.86,7735.78
base+micro,rf_std,rf,6,0.01,0.02,0.55,911,0.352,-52.69,53.6,0.57,20.4,-7.99,4731.13
base+micro,rf_std,rf,6,0.01,0.02,0.6,614,0.353,-40.3,41.26,0.6,13.8,-6.35,5969.89
base+micro,rf_std,rf,6,0.01,0.02,0.65,418,0.347,-32.15,33.75,0.57,9.4,-5.67,6784.94
base+micro,rf_std,rf,6,0.01,0.02,0.7,273,0.311,-26.5,27.13,0.52,6.1,-5.5,7349.72
base+micro,rf_std,rf,6,0.015,0.03,0.55,726,0.388,-40.05,41.52,0.64,16.3,-5.29,5994.69
base+micro,rf_std,rf,6,0.015,0.03,0.6,471,0.382,-30.8,31.98,0.65,10.6,-4.33,6919.51
base+micro,rf_std,rf,6,0.015,0.03,0.65,319,0.392,-22.97,25.65,0.65,7.1,-3.52,7703.33
base+micro,rf_std,rf,6,0.015,0.03,0.7,200,0.385,-16.73,18.55,0.64,4.5,-2.92,8326.75
base+micro,rf_std,rf,6,0.02,0.04,0.55,671,0.416,-36.17,37.9,0.67,15.0,-4.47,6383.45
base+micro,rf_std,rf,6,0.02,0.04,0.6,435,0.409,-29.5,31.05,0.65,9.7,-3.93,7050.35
base+micro,rf_std,rf,6,0.02,0.04,0.65,289,0.426,-21.82,25.55,0.67,6.5,-3.06,7817.99
