feature_set,model,model_type,horizon,sl,tp,threshold,trades,win_rate,pnl_pct,max_dd,profit_factor,trades_per_week,sharpe,final_balance
base,xgb_std,xgb,6,0.02,0.04,0.6,1544,0.369,-67.31,67.31,0.56,34.6,-8.72,3269.5
base,xgb_std,xgb,6,0.02,0.04,0.65,1239,0.369,-60.07,60.07,0.57,27.8,-7.76,3993.44
base,xgb_std,xgb,6,0.02,0.04,0.7,964,0.376,-50.32,50.34,0.58,21.6,-6.78,4968.19
base,xgb_std,xgb,8,0.01,0.02,0.55,1776,0.341,-77.94,78.02,0.52,39.8,-11.8,2206.11
base,xgb_std,xgb,8,0.01,0.02,0.6,1495,0.337,-73.82,73.85,0.52,33.5,-11.31,2617.76
base,xgb_std,xgb,8,0.01,0.02,0.65,1178,0.329,-64.77,64.77,0.53,26.4,-10.0,3522.54
base,xgb_std,xgb,8,0.01,0.02,0.7,911,0.332,-56.12,56.65,0.54,20.4,-8.82,4387.84
base,xgb_std,xgb,8,0.015,0.03,0.55,1493,0.359,-71.74,71.87,0.53,33.4,-9.9,2826.12
base,xgb_std,xgb,8,0.015,0.03,0.6,1235,0.37,-64.79,64.88,0.54,27.7,-8.99,3521.06
base,xgb_std,xgb,8,0.015,0.03,0.65,981,0.358,-57.75,57.96,0.54,22.0,-8.34,4225.15
base,xgb_std,xgb,8,0.015,0.03,0.7,744,0.36,-48.96,50.25,0.55,16.7,-7.23,5104.37
base,xgb_std,xgb,8,0.02,0.04,0.55,1403,0.368,-69.75,69.81,0.53,31.4,-9.17,3025.21
base,xgb_std,xgb,8,0.02,0.04,0.6,1156,0.378,-63.65,63.69,0.53,25.9,-8.53,3634.8
base,xgb_std,xgb,8,0.02,0.04,0.65,914,0.37,-56.72,56.73,0.53,20.5,-7.91,4328.32
base,xgb_std,xgb,8,0.02,0.04,0.7,688,0.372,-47.53,48.51,0.55,15.4,-6.68,5246.89
base,xgb_std,xgb,12,0.01,0.02,0.55,1775,0.359,-75.09,75.75,0.6,39.8,-9.67,2490.91
base,xgb_std,xgb,12,0.01,0.02,0.6,1508,0.364,-67.53,68.73,0.62,33.8,-8.67,3247.27
base,xgb_std,xgb,12,0.01,0.02,0.65,1238,0.357,-62.18,62.55,0.6,27.7,-8.39,3781.57
base,xgb_std,xgb,12,0.01,0.02,0.7,949,0.371,-49.92,53.23,0.63,21.3,-6.97,5008.19
base,xgb_std,xgb,12,0.015,0.03,0.55,1393,0.383,-67.44,68.59,0.61,31.2,-7.81,3255.72
base,xgb_std,xgb,12,0.015,0.03,0.6,1165,0.403,-59.35,60.95,0.63,26.1,-6.79,4064.58
base,xgb_std,xgb,12,0.015,0.03,0.65,961,0.414,-49.15,52.05,0.66,21.5,-5.72,5084.93
base,xgb_std,xgb,12,0.015,0.03,0.7,740,0.435,-38.79,43.57,0.68,16.6,-4.76,6121.3
base,xgb_std,xgb,12,0.02,0.04,0.55,1287,0.404,-62.97,64.23,0.62,28.8,-6.92,3703.31
base,xgb_std,xgb,12,0.02,0.04,0.6,1066,0.413,-55.86,58.19,0.63,23.9,-6.23,4413.77
base,xgb_std,xgb,12,0.02,0.04,0.65,874,0.42,-44.7,48.42,0.67,19.6,-4.94,5530.11
base,xgb_std,xgb,12,0.02,0.04,0.7,667,0.453,-35.67,41.22,0.69,14.9,-4.05,6432.55
base,xgb_deep,xgb,6,0.01,0.02,0.55,1317,0.353,-63.47,63.47,0.54,29.5,-10.1,3653.48
base,xgb_deep,xgb,6,0.01,0.02,0.6,1050,0.338,-58.64,58.64,0.51,23.5,-9.9,4135.93
base,xgb_deep,xgb,6,0.01,0.02,0.65,822,0.336,-51.3,51.3,0.51,18.4,-8.91,4870.47
base,xgb_deep,xgb,6,0.01,0.02,0.7,597,0.327,-42.64,42.64,0.5,13.4,-7.94,5736.24
base,xgb_deep,xgb,6,0.015,0.03,0.55,1144,0.378,-52.83,52.83,0.6,25.6,-7.23,4717.06
base,xgb_deep,xgb,6,0.015,0.03,0.6,915,0.366,-48.76,48.76,0.58,20.5,-7.0,5124.39
base,xgb_deep,xgb,6,0.015,0.03,0.65,723,0.364,-44.04,44.04,0.56,16.2,-6.59,5596.33
base,xgb_deep,xgb,6,0.015,0.03,0.7,511,0.356,-35.74,35.8,0.55,11.4,-5.81,6426.38
base,xgb_deep,xgb,6,0.02,0.04,0.55,1092,0.382,-50.0,50.0,0.61,24.5,-6.4,5000.34
base,xgb_deep,xgb,6,0.02,0.04,0.6,866,0.367,-47.1,47.1,0.59,19.4,-6.26,5290.45
base,xgb_deep,xgb,6,0.02,0.04,0.65,678,0.375,-39.9,39.9,0.6,15.2,-5.41,6009.71
base,xgb_deep,xgb,6,0.02,0.04,0.7,481,0.37,-32.44,32.44,0.59,10.8,-4.74,6756.02
base,xgb_deep,xgb,8,0.01,0.02,0.55,1375,0.343,-67.86,67.98,0.54,30.8,-10.27,3213.71
base,xgb_deep,xgb,8,0.01,0.02,0.6,1140,0.339,-61.53,61.53,0.54,25.5,-9.63,3847.23
base,xgb_deep,xgb,8,0.01,0.02,0.65,923,0.34,-55.3,55.3,0.54,20.7,-8.93,4470.3
base,xgb_deep,xgb,8,0.01,0.02,0.7,689,0.328,-44.35,45.72,0.57,15.4,-7.02,5564.54
base,xgb_deep,xgb,8,0.015,0.03,0.55,1149,0.366,-58.84,59.75,0.57,25.7,-7.98,4116.07
base,xgb_deep,xgb,8,0.015,0.03,0.6,956,0.363,-53.03,53.45,0.57,21.4,-7.31,4696.8
base,xgb_deep,xgb,8,0.015,0.03,0.65,758,0.364,-49.37,49.98,0.54,17.0,-7.41,5063.34
base,xgb_deep,xgb,8,0.015,0.03,0.7,567,0.379,-36.22,38.05,0.61,12.7,-5.27,6378.47
base,xgb_deep,xgb,8,0.02,0.04,0.55,1076,0.375,-56.06,56.72,0.57,24.1,-7.29,4393.71
base,xgb_deep,xgb,8,0.02,0.04,0.6,893,0.372,-50.38,50.6,0.57,20.0,-6.69,4961.95
base,xgb_deep,xgb,8,0.02,0.04,0.65,701,0.384,-45.09,45.9,0.56,15.7,-6.33,5490.74
base,xgb_deep,xgb,8,0.02,0.04,0.7,524,0.405,-33.08,35.14,0.63,11.7,-4.42,6691.81
